Data Source,World Development Indicators,,,,,,,,,,
,,,,,,,,,,,
Last Updated Date,3/28/24,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Greenland,GRL,Individuals using the Internet (% of population),65.8,66.7,67.60044348,68.50087368,69.48246178,,,,
Guatemala,GTM,Individuals using the Internet (% of population),19.7,23.4,28.80594156,34.50932609,37.9,41.5,44.40104984,47.51234167,50.84164945
Guam,GUM,Individuals using the Internet (% of population),65.4,69.27,73.13999995,77.00999989,80.50546556,,,,
Guyana,GUY,Individuals using the Internet (% of population),31,32,34,35.66,37.32583679,,78.63994332,81.8019792,84.79357266
High income,HIC,Individuals using the Internet (% of population),76.20124359,77.89545783,79.36916177,83.72976635,85.31664814,86.92344383,88.24935155,89.44419584,90.16900254
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),74.2,79.86627043,84.94835296,87.47941467,89.41594465,90.50739533,91.74340039,92.41313602,93.08715788
Honduras,HND,Individuals using the Internet (% of population),17.8,23,27.1,29.52821808,31.73579247,36.04006082,39.38835219,43.48954646,48.08351858
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),6.019460989,7.885255938,10.4275053,13.46514859,15.84136508,18.54194198,20.45900639,24.5118439,28.4885178
Croatia,HRV,Individuals using the Internet (% of population),66.7476,68.57,69.84503592,72.69726967,67.09619204,75.29462599,79.07978368,78.32090004,81.25396608
Haiti,HTI,Individuals using the Internet (% of population),10.6,11.4,14.2,22.8,27.2,32.47362713,32.47362713,36.39474796,38.94501834
Hungary,HUN,Individuals using the Internet (% of population),72.6439,75.65319745,72.83473703,79.25941213,76.75054712,76.07436064,80.37169361,84.77115202,88.64083466
IBRD only,IBD,Individuals using the Internet (% of population),34.00721572,36.37527061,39.17666584,42.07911304,44.57436042,48.40589262,54.68863202,62.46654458,65.79606239
IDA & IBRD total,IBT,Individuals using the Internet (% of population),28.0726119,30.36029228,32.99635465,35.78815417,38.28435831,42.18136491,47.46741654,54.1936858,58.15644763
IDA total,IDA,Individuals using the Internet (% of population),9.33889492,11.84429307,14.19307279,17.32978343,20.07885232,23.23707302,26.50048195,30.53594852,34.97432377
IDA blend,IDB,Individuals using the Internet (% of population),14.13975753,16.38917079,18.77595957,21.16616652,23.85186055,27.75409846,32.17633969,36.2098397,39.3407954
Indonesia,IDN,Individuals using the Internet (% of population),14.94,17.14,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449,62.10447842
IDA only,IDX,Individuals using the Internet (% of population),6.770543326,9.467866704,11.80117288,15.40743161,18.19801795,20.83410147,23.5650508,27.60899885,32.44726293
Isle of Man,IMN,Individuals using the Internet (% of population),,,,,,,,,
India,IND,Individuals using the Internet (% of population),12.3,13.5,14.9,16.5,18.2,20.08130004,29.52351142,43.40544313,46.31
Not classified,INX,Individuals using the Internet (% of population),,,,,,,,,
Ireland,IRL,Individuals using the Internet (% of population),78.2477,83.49172234,83.49479167,83.5,84.11400706,87.00014011,87.00005524,91.99989097,95.16956667
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),29.95,39.35,45.33497615,53.22677167,64.04397362,70.200565,72.45090477,75.56986637,78.5957366
Iraq,IRQ,Individuals using the Internet (% of population),9.2,13.21,15.2,19.9,26,33.9,44.32634655,45.7863696,48.91718718
Iceland,ISL,Individuals using the Internet (% of population),96.5468,98.16,98.2,98.2400163,98.25520119,99.01095399,99.50494117,99.5327519,99.68701957
Israel,ISR,Individuals using the Internet (% of population),70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,83.73315696,86.78787762,90.12734091,90.29689758
Italy,ITA,Individuals using the Internet (% of population),58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292,67.85071029,70.48342785,74.8623274
Jamaica,JAM,Individuals using the Internet (% of population),37.1,40.4027351,42.22122119,44.36685637,55.07206705,68.21451709,70.84101697,79.43244028,82.36071561
Jordan,JOR,Individuals using the Internet (% of population),41.4,46.2,54.22,56.15,64.5,65.2,70.08467395,75.44769493,85.999997
Japan,JPN,Individuals using the Internet (% of population),88.21942891,89.10683302,91.05802839,93.18272128,91.72654724,88.74635089,92.73039781,90.21945812,82.91407928
Kazakhstan,KAZ,Individuals using the Internet (% of population),63.30422443,66,70.8299336,74.58772647,76.42674823,78.90391906,81.87762047,85.94259898,90.9239507
Kenya,KEN,Individuals using the Internet (% of population),13,16.5,16.58785485,16.6,17.82710021,19.5,22.66877336,25.53293999,28.75752799
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),23,28.3,30.24704278,40.5,50.8,57.1,64.1,72,77.92035931
Cambodia,KHM,Individuals using the Internet (% of population),6,14,18,32.39845171,32.90027854,,52.30587822,53.65076745,60.1524023
